Reference,Barcode,Name,Buy Price,Sell Price,Tax,Category,Default,Supplier
ABE391,013000006408,Ketchup,$0.00,$1.99,000,ALL,1,Jonah Albert
PKL121,049000050158,Sprite 2L,$0.00,$1.99,000,ALL,2,Benjamin Wooten
DKK435,021200519598,Ocelo Sponges,$0.00,$4.99,000,ALL,3,Garrison Calhoun
SCO091,028400159609,Ruffles,$0.00,$2.99,000,ALL,4,Tanner Hampton
POU311,052000338775,Gatorade,$0.00,$1.99,000,ALL,5,Gil Mayer
KFS842,038000183713,Pringles,$0.00,$2.99,000,ALL,6,Scott Herman
IFG952,048001353565,Mayonnaise,$0.00,$5.99,000,ALL,7,Kermit Bean
OLP122,043000955437,Koolaid Fruit Punch,$0.00,$0.99,000,ALL,7,Ben Ben
IKA931,022000008916,Extra Peppermint Gum,$0.00,$1.99,000,ALL,7,Kermit Bean
QWE211,051700988235,Finish Dishwasher Tablet,$0.00,$12.99,000,ALL,7,Kermit Bean
IKA321,012000163173,Mountain Dew 6 Pack,$0.00,$3.49,000,ALL,7,Ben Ben
YKG351,024000566670,Canned Green Beans,$0.00,$0.89,000,ALL,7,Ben Ben
