upc, product name: epc
00000000324588,Red Apples:      30140000001FB28000003039
00000000571111,Trail Mix:       301400000037C5C000003039
00000000884389,Red Wine:        3014000000565D8000003039
00000000735797,Steak:           301400000047DAC000003039
00000000388771,Cheez It:        301400000025F74000003039
00000000830881,Salsa:           301400000051240000003039
00000000941969,Quaker Oats:     30140000005BFD0000003039
00000000098212,Stapler:         301400000009974000003039
00000000019293,HP MP9:          301400000001E24000003039
00000000291811,USB Cable:       30140000001C7F4000003039
00000000394215,Logitech Mouse:  3014000000267F4000003039
